id,año,destino,estrato,consumo
be4cf460-95bd-4462-b459-335ee7b5f3de,2024,Especial,,16003178.2
08b2ba2b-b3a1-463f-81d2-3f2c2453ebda,2024,Comercial,,9964533.81
65caffc5-2646-4e7b-a87c-2f3280ccba22,2023,Otros,,10565300.1
9ece2440-79b5-4991-8a1f-044658003739,2023,Industrial,,5824655.98
79fb155b-94e5-4708-867a-848c97bb9707,2023,Especial,,19484463.93
03e2bbac-d23f-48cb-aae2-88b402e6a64f,2023,Industrial,,16203715.58
2755dab2-7932-42b7-bf30-a7b644cc86b2,2024,Residencial,1,4103585.68
14f720a6-da6b-4196-b9eb-10300edd1af3,2024,Otros,,19232373.77
e6a22904-b10d-40f1-b718-c8bf2b03e773,2024,Otros,,6332160.42
19841515-a9de-4eeb-921a-e65926e79b04,2023,Otros,,8034787.51
8ba22d3c-cae4-4d13-aa20-49099dbec312,2024,Otros,,916696.76
6d199eaf-4b23-48aa-9e1c-994885bb7437,2023,Industrial,,12914967.5
fa308f2a-ac08-4ecd-9411-b486f0c6b09c,2023,Residencial,4,11059441.19
dd1e464b-0e8f-4606-a156-8459a737aa31,2023,Especial,,14123383.07
6a572113-a240-4df8-bf7c-15825d2229ef,2023,Industrial,,8564078.8
93d0273a-183d-4c6b-85fd-badd9d104072,2024,Especial,,9614768.02
c92bc8de-539c-44ad-bb83-443e16a8912d,2023,Comercial,,6444395.76
7fcf3edd-c834-4a4c-bf24-d07341477839,2024,Especial,,882184.26
3a54e05c-302d-4f58-b9dd-e82cc270c048,2024,Industrial,,13391838.72
00bd6841-96ff-4deb-a503-9b80253191f2,2024,Especial,,6448581.8
5efa46af-a17d-4b1d-8b92-31d1f552f687,2023,Otros,,19972778.53
be796617-cc53-4674-8f12-c270670d696e,2023,Especial,,10986441.08
64753174-c059-4243-bda9-99bc743db567,2024,Oficial,,17884457.53
5dad8f25-2049-4da2-8182-a8326267e3f7,2023,Otros,,3110839.27
9c61dec8-89f8-4e60-bfd2-dde6fa4570a4,2023,Industrial,,10419035.24
06c24b59-32ab-4b78-a57d-95fd75180615,2023,Oficial,,8099460.68
82b58469-8b0f-4c0f-b996-0e3d3f01bece,2024,Oficial,,17381772.6
c47fecb1-f82d-46a3-9e49-a0056020fb9f,2023,Residencial,2,1821587.72
366ea109-70e7-4f46-a45b-233d9b93f2c4,2024,Otros,,8657267.29
5567abdf-1bb8-4026-ac60-55ca3b34bb7d,2023,Oficial,,9261183.94
c16dfa2b-a683-44a3-bb7b-52c7a0c494cd,2024,Oficial,,12493967.05
9ec05c98-3cdc-4182-8e34-6b07bbe2d456,2024,Industrial,,10028295.74
6002c36e-0d5a-4ffa-a22e-b4b4e1a213cc,2024,Oficial,,6274024.31
9b1b095f-dc1e-4aaa-9c48-e8de312f9806,2024,Industrial,,3063630.24
0c6ee3fd-8b59-435c-bf3b-e86e8b872a6c,2024,Residencial,2,1616419.61
f4512bd0-2ec5-42d3-808f-5876cba3e563,2023,Otros,,4091277.53
0d3cf48f-131b-49b0-9f0b-34004b2a5ba3,2023,Residencial,1,12857773.37
e7bd5d19-dec7-4693-8ca5-5709a4d292d7,2024,Industrial,,5456119.39
f4797135-9738-450f-a702-dbcb9706d4e7,2024,Industrial,,11521392.62
21cd367f-3d37-4d51-8563-13fce0c3eecd,2024,Oficial,,15919020.1
8e73d311-0968-4f86-a63b-80d861076333,2023,Otros,,17640543.18
29f104c3-0071-4119-8bfb-881e55671627,2024,Especial,,6404796.03
d21462c4-3ff8-4220-b89c-46559b7b9d16,2024,Otros,,1919387.29
0b34bd0e-dffd-454a-9f56-9aee8722bffb,2024,Otros,,7170669.4
f1d78658-cb2c-4ca6-bbc4-a7c884b0cdf0,2023,Comercial,,9572383.83
52b1a98e-e768-48d1-a88e-0ef86fddad27,2024,Comercial,,8323268.28
fd0eeb85-4b9f-4f5d-b91d-341ef5db7b30,2024,Especial,,14873423.72
462c7742-ae5b-4876-b72c-d8757ddd42d4,2023,Oficial,,185.78
bb15f982-da77-406d-b361-d8e611614472,2023,Industrial,,15824497.02
f65edbf2-700d-4da3-9768-090789a50de2,2024,Otros,,16405539.71
b22a2cdb-83a5-43ba-bf20-6ecfd38f8fe8,2023,Oficial,,3183772.74
c3661995-86a5-49f5-af99-e486df83ba53,2024,Industrial,,8532386.45
13166e12-57de-42b5-b27c-31d1ddd31da1,2024,Otros,,3677593.87
a67ebea4-0e20-4777-b9a2-6b07d54ac27a,2024,Oficial,,10188263.72
1d9ae5aa-42e7-4e16-808f-16dcf9d89240,2024,Oficial,,17680236.73
5bb22101-9756-436b-859c-a272148515ad,2023,Comercial,,11512519.43
33949165-f8c9-4567-a3da-5307d6842b58,2024,Residencial,5,2782270.63
b8608624-6eba-4076-b2b6-937007dda63d,2023,Otros,,8508538.75
8fe747c8-300f-4d90-bda3-c491230afbfe,2023,Oficial,,1331395.78
fff4240a-798b-464b-8041-4206b6978323,2024,Residencial,4,6821762.36
e349990b-64ff-4e9f-89f6-fd4d34f275ce,2023,Comercial,,19176879.68
7a074147-9a5b-4156-9812-ff90608dd898,2024,Residencial,1,14844612.86
4644aaa4-ce6a-4af4-8520-7bc8d8dda84a,2023,Especial,,7987683.53
b51cab55-4a4d-4843-8f03-cca35d01c97c,2024,Especial,,7919031.56
b1dfd322-cdd2-4c77-bd4b-6f54f05af42d,2023,Residencial,5,14355849.01
898de7ae-e5fc-4d0f-b23e-d39c25ebb0f5,2023,Comercial,,558279.93
fdd3e67a-65b2-4faa-8ee3-55cd421104e9,2023,Otros,,16300700.93
cccd7dc4-f37b-4017-8835-b0f97d390b19,2024,Otros,,7388165.88
8add459d-6701-4d45-a327-a67e7f7454f7,2023,Industrial,,15061636.28
d0fb37f1-e46a-46fb-872d-fe5c49a6990c,2024,Comercial,,17741340.35
19fcb9e0-97fb-43bf-81e3-e745d16c0921,2024,Especial,,13783651.08
22355d98-e9b3-4a6e-91c2-34a18488b1a6,2024,Industrial,,3789847.86
2c9f8467-4071-45dd-9061-c5fb53490263,2024,Residencial,1,7702181.99
cd2c7533-1dac-44cb-a068-e0517b84798b,2024,Comercial,,15899349.54
5fb008ee-e3b5-4fe9-af3f-9179cce134b9,2023,Oficial,,17104505.53
ff433a1a-f4e2-4de1-993a-bf18a9540df2,2024,Otros,,4412524.8
5b437bb0-ec4c-4579-8a7c-967a9ba7327d,2024,Especial,,199754.22
a787806c-0bb3-4d31-adb2-ae55121fc245,2023,Residencial,2,12440094.5
7dbd8219-17d5-4620-9b3c-a88045c539a1,2024,Otros,,7847920.07
234f0012-5481-40bd-bc79-1b5f74864eb2,2023,Otros,,5150407.65
3090ddb5-1a92-48ff-93de-73569a72bff4,2024,Comercial,,8674569.86
9d39e2dc-69ae-4d2a-b303-d4da8eabb393,2023,Oficial,,12359003.41
1ed6eda6-0706-4011-bcf5-757ad77d1d13,2023,Comercial,,2974934.45
7bab7d1d-d081-48da-b2b4-8ae139e0dee2,2023,Especial,,1484805.72
2415bca3-6fe2-48fd-bedb-de872bf64957,2023,Otros,,2670018.39
dce997ce-0e8d-4963-9729-4152fc259c53,2023,Especial,,7787605.75
7d2379ae-8ce6-4e83-bd26-7420fd54109e,2023,Especial,,6355080.91
3d029624-0db5-4a90-bd20-f796484628da,2023,Otros,,17434847.22
e069ab30-98e2-4b7a-b1af-11d997ceebde,2024,Otros,,18965974.14
b6b6a5fd-1b32-418b-9b21-5ac14d6c56cd,2023,Especial,,13521337.9
58786bad-dbd7-41f0-8a43-57b1b0cf5a9a,2024,Especial,,7490044.34
ead3603f-5623-470d-a098-2b5af4d4311d,2024,Oficial,,16144274.4
5ac9a63e-a58e-42b2-9dc7-c0b652a8c197,2024,Comercial,,12358021.23
b7f63ff0-d45a-4764-a2b3-81b7c1cab0e9,2024,Otros,,14556889.5
1e2467ca-305e-48a9-8f11-f494cba16556,2023,Residencial,4,18528998.81
ede69fe6-fe97-4bcd-b4aa-b40a307a7b3d,2023,Oficial,,7711578.36
f732450f-f7e5-473c-b423-4b63dab60b55,2024,Otros,,5136450.7
6226af15-f0a8-42d5-b27b-2c75e12f6206,2023,Especial,,4351302.61
5b1c7268-94d1-47ae-a4ae-3ba474521ec6,2024,Otros,,5195317.61
7fade257-3dc4-4084-8823-062a025142cd,2024,Especial,,16317158.29
3c636cd6-a509-46bf-a91a-f8cc12ee221f,2024,Otros,,8641989.41
54366e42-5ce9-4258-9716-ed62f6c66084,2024,Industrial,,63405.86
4abf80a2-c049-4cb8-beea-997268064f43,2024,Otros,,17263519.46
ac77691b-ebfe-43fb-88f6-ff4a907112f9,2024,Residencial,3,14967741.68
81b3893f-f44b-42bb-9223-32ebab6ea8c8,2023,Oficial,,283342.56
9fded77f-f2d5-47dc-872e-e7282e9e230d,2024,Otros,,9490849.7
813afc09-4576-4bbd-82f7-78ba548640ab,2024,Residencial,4,18343557.04
62a8f9d9-c41c-489c-a8b9-8f8faec4e816,2023,Otros,,19344640.41
8dd67134-f140-4ce5-bd5e-e10f33bbf54f,2024,Comercial,,13873776.64
a8440ca2-d0fd-4c52-b49b-a803e8f36699,2024,Industrial,,1129264.24
a05b43f9-e1ca-4fad-83d8-192d1a155b9e,2024,Especial,,9994627.48
7d30b6b1-d6fc-467c-a278-20f28554a0c8,2024,Comercial,,11760641.98
422a1d58-91ac-49f8-9a06-74aab7f3db0e,2024,Oficial,,8630686.55
10375b99-90f5-41fb-b46f-2ad77c2118bc,2023,Otros,,4472145.68
f7654e2f-d2b4-42ab-9ca6-08e8239a2c89,2024,Residencial,3,7360135.54
553499b9-a1ae-4852-b877-a38e21c6bed1,2024,Oficial,,3826412.61
0f9f6780-6403-476d-aad5-bcebc9e3a41a,2023,Otros,,2054256.22
6aa37ca3-42d9-4a1a-84cf-c1f8be880e9b,2024,Oficial,,7357602.28
63fb0199-45d6-4823-8902-508035807a3a,2024,Especial,,6782425.45
b3f793c8-67ff-45c0-85f1-2854e99e16c4,2024,Otros,,334106.63
f7c939e2-7d98-4bfa-9621-af61c8c8b30d,2024,Otros,,15496342.96
fa31e10a-b08b-4a0b-bbd5-c754721dcc93,2023,Comercial,,5232735.98
