id,año,destino,estrato,consumo
7e2c2643-b3bf-4452-8962-a6536e519111,2024,Especial,,8489738.55
63afdfc6-8d19-4b0b-8256-1ff1fd2b9acc,2023,Industrial,,17441101.84
9e0ad86f-dedc-48cd-a5e3-80d424f1ce8a,2023,Residencial,3,12739561.61
9516aa60-9e59-425d-8952-03ff0a04b8ee,2023,Otros,,12505363.87
17328dcd-e9b9-41c8-8e12-73ffc52f0430,2024,Otros,,4314871.83
bdf40a22-0803-4d19-a7c0-f6ba3b52ef93,2024,Especial,,16567206.84
65cf99b1-8fbb-497b-85a8-e67099190fa3,2024,Comercial,,13234129.33
2f3d887e-5b0a-4c51-a5ca-b840befbd1e0,2023,Especial,,5020006.0
5f139ce0-0aa9-49d7-9956-529d18fcf192,2024,Otros,,3734495.08
68b554df-251b-41fe-b5d4-75283d17689f,2023,Comercial,,10506761.55
030e0369-d8ef-403a-bb18-f98f7a84151d,2023,Especial,,13314787.17
f6eb2565-e1df-4f5e-9fd6-1d640abafd7f,2023,Industrial,,8026369.59
6b5bc9a9-c6e5-4e93-87b6-fc97d510b63b,2023,Industrial,,8104720.29
e7f339fb-9b50-4b3e-86c4-be21228383ee,2023,Especial,,292443.2
411397b6-b572-499e-b134-a208216e0f31,2024,Residencial,2,3432262.29
9a5e26a0-7d2d-409e-9a65-3b2870e4c42c,2023,Especial,,3697312.79
4db575bf-dcb7-4a85-94fd-81d887363a98,2024,Residencial,6,13893475.34
b6924687-531c-4dfb-83e2-9334e536d36a,2023,Oficial,,17608300.07
970d731d-9238-4a87-b7ca-d382b98d81b1,2023,Comercial,,4895606.72
ddafa3e8-be34-48a1-bed7-298d84476b7a,2023,Residencial,5,3291535.04
1f11cb8a-0a2e-4436-9881-73effe081598,2024,Industrial,,8496946.72
4e831e46-94c0-4e40-9ad6-d4c3abf631a2,2023,Especial,,12921462.05
f862309d-2b9a-4774-b5e3-39eba734c991,2024,Residencial,1,10486077.83
add3e10b-dcd1-45ad-9402-909fb7c6db45,2023,Industrial,,10621084.03
fa8d3ae8-3677-4e31-b902-48b0e1a31c30,2023,Comercial,,8170277.52
03270d28-fe71-492f-9d42-baf905f0bbd3,2023,Industrial,,12094409.19
5478282f-ea48-44da-8cb9-a2f84b5e9177,2023,Oficial,,10998289.43
9242ad4c-4758-457c-a414-2c939fc71450,2023,Otros,,8802183.58
0ad0fdd0-c8bc-41b6-8577-9d479abcc732,2024,Comercial,,5042256.62
6e18c6dc-5479-47b5-9fd6-5d86cbfd1e53,2024,Otros,,274185.54
10795adb-60f4-46fd-ace5-7edc789c1f24,2023,Residencial,5,8217949.53
3e6575c9-1488-4b9e-806a-8ccbe39c1eee,2023,Comercial,,9107904.19
a620107f-bff3-415f-8e62-8cc541e53f13,2023,Comercial,,19822496.6
4f95e980-1ae9-4c81-b004-a58e88a4b56f,2023,Residencial,4,13548492.17
ce05866f-f66a-45ef-a214-3a476a23d134,2024,Residencial,3,11602082.52
ffb0add8-af4f-4ffc-8bfe-cc6d792a45cf,2024,Comercial,,18522648.42
7d2652c9-0406-45d3-be14-723317591007,2023,Residencial,1,2982667.23
f66df430-0afa-40e5-b358-7159f92712f8,2024,Especial,,19628668.53
c2db0563-35cc-46d9-a03f-effdea1f92e0,2024,Comercial,,6636613.27
684ede2c-998f-4ee8-9518-6984126224ef,2023,Comercial,,2807918.67
d232e5e6-7217-4b5c-8490-ff454a0858f6,2023,Especial,,19695999.9
b74be7f0-9b1b-4595-afd0-da11b7002dcb,2024,Oficial,,8037807.98
